City,URL,Site,,
Los Angeles,https://abc7.com/,abc7.com,,
Los Angeles,https://ktla.com/,ktla.com,,
Los Angeles,https://www.latimes.com/,latimes.com,,
Los Angeles,https://www.foxla.com/,foxla.com,,
Los Angeles,https://www.dailynews.com/,dailynews.com,,
Los Angeles,https://www.nbclosangeles.com/,nbclosangeles.com,,
Los Angeles,https://www.cbsnews.com/losangeles/,cbsnews.com/losangeles,,
Phoenix,https://www.azfamily.com/,azfamily.com,,
Phoenix,https://www.abc15.com/,abc15.com,,
Phoenix,https://www.fox10phoenix.com/,fox10phoenix.com,,
Phoenix,https://www.12news.com/,12news.com,,
Phoenix,https://www.azcentral.com/,azcentral.com,,
Phoenix,https://www.phoenixnewtimes.com/,phoenixnewtimes.com,,
Phoenix,https://ktar.com/,ktar.com,,
Phoenix,https://www.bizjournals.com/phoenix/news,bizjournals.com/phoenix/news,,
Denver,https://kdvr.com/,kdvr.com,,
Denver,https://www.9news.com/,9news.com,,
Denver,https://www.thedenverchannel.com/news/local-news,thedenverchannel.com,,
Denver,https://www.denverpost.com/,denverpost.com,,
Denver,https://denver.cbslocal.com/,denver.cbslocal.com,,
Denver,https://www.westword.com/news,westworld.com,,
Denver,https://www.kktv.com/,kktv.com,,
Dallas-Fort Worth,https://www.nbcdfw.com/,nbcdfw.com,,
Dallas-Fort Worth,https://www.star-telegram.com/,star-telegram.com,,
Dallas-Fort Worth,https://www.fox4news.com/ ,fox4news.com,,
Dallas-Fort Worth,https://www.wfaa.com/,wfaa.com,,
Dallas-Fort Worth,https://dfw.cbslocal.com/,dfw.cbslocal.com,,
Houston,https://www.khou.com/,khou.com,,
Houston,https://www.click2houston.com/,click2houston.com,,
Houston,https://abc13.com/,abc13.com,,
Houston,https://www.houstonchronicle.com/,houstonchronicle.com,,
Houston,https://www.chron.com/,chron.com,,
Houston,https://www.fox26houston.com/,fox26houston.com,,
New York City,https://abc7ny.com/manhattan/,abc7ny.com,,
New York City,https://www.ny1.com/nyc/manhattan,ny1.com,,
New York City,https://www.fox5ny.com/tag/us/ny/nyc/manhattan,fox5ny.com,,
New York City,https://www.nydailynews.com/new-york/manhattan/,nydailynews.com,,
New York City,https://pix11.com/news/local-news/manhattan/,pix11.com,,
New York City,https://www.independent.co.uk/topic/manhattan,independent.co.uk/topic/manhattan,,
New York City,https://www.manhattanda.org/category/news/,manhattanda.org,,
Atlanta,https://www.wsbtv.com/,wsbtv.com,,
Atlanta,https://www.11alive.com/,11alive.com,,
Atlanta,https://www.fox5atlanta.com/,fox5atlanta.com,,
Atlanta,https://www.cbs46.com/,cbs46.com,,
Atlanta,https://www.ajc.com/news/atlanta-news/,ajc.com,,
Atlanta,https://atlanta.cbslocal.com/,atlanta.cbslocal.com,,
Atlanta,https://patch.com/georgia/atlanta,patch.com/georgia/atlanta,,
Atlanta,https://atlantablackstar.com/,atlantablackstar.com,,
Las Vegas,https://www.8newsnow.com/,8newsnow.com,,
Las Vegas,https://www.fox5vegas.com/,fox5vegas.com,,
Las Vegas,https://www.ktnv.com/,ktnv.com,,
Las Vegas,https://news3lv.com/,news3lv.com,,
Las Vegas,https://www.reviewjournal.com/,reviewjournal.com,,
Miami,https://www.local10.com/,local10.com,,
Miami,https://wsvn.com/,wsvn.com,,
Miami,https://www.nbcmiami.com/,nbcmiami.com,,
Miami,https://www.miamiherald.com/,miamiherald.com,,
Miami,https://miami.cbslocal.com/,miami.cbslocal.com,,
Miami,https://www.miaminewtimes.com/news,miaminewtimes.com,,
Chicago,https://abc7chicago.com/,abc7chicago.com,,
Chicago,https://wgntv.com/,wgntv.com,,
Chicago,https://www.nbcchicago.com/,nbcchicago.com,,
Chicago,https://www.fox32chicago.com/,fox32chicago.com,,
Chicago,https://www.chicagotribune.com/,chicagotribune.com,,
Chicago,https://chicago.suntimes.com/,chicago.suntimes.com,,
Chicago,https://www.cbsnews.com/chicago/,cbsnews.com/chicago,,
Chicago,https://news.wttw.com/,news.wttw.com,,
Chicago,https://www.chicagobusiness.com/,chicagobusiness.com,,
